3 0.00133333, 0.0260714, 0.043343, 0.0692353
6 0.00106667, 0.051527, 0.0884105, 0.141232
9 0.0012, 0.008024, 0.0119562, 0.0190995
12 0.0012, 0.0257054, 0.0429353, 0.0685875
15 0.00133333, 0.0309356, 0.0518655, 0.0828531
18 0.00113333, 0.00315347, 0.00353944, 0.00565059
21 0.00126667, 0.0126894, 0.0200135, 0.0319709
24 0.00113333, 0.023903, 0.0397905, 0.0633435
27 0.00133333, 0.0324455, 0.054511, 0.0870792
30 0.00106667, 0.0139132, 0.0225081, 0.0359558
33 0.00113333, 0.0285862, 0.0480995, 0.0768266
36 0.0012, 0.0224459, 0.0372245, 0.0594647
39 0.00106667, 0.0262339, 0.044095, 0.0704401
42 0.0012, 0.0139775, 0.0223873, 0.0357557
45 0.00113333, 0.0325954, 0.0549996, 0.0875778
48 0.00113333, 0.0404329, 0.068856, 0.0919597
51 0.00133333, 0.0149555, 0.0238671, 0.0381267
54 0.000533333, 0.00999626, 0.0165785, 0.0264808
57 0, 0, 0, 0
60 0, 0, 0, 0
