30 0.00012, 0.00569916, 0.00977514, 0.0138824
60 0.0001, 0.00504623, 0.00866619, 0.0138439
90 0.00012, 0.00865698, 0.0149575, 0.0225223
120 0.000113333, 0.00402813, 0.00685902, 0.010957
150 0.000133333, 0.00417912, 0.00708854, 0.0113237
180 0.000113333, 0.00460866, 0.00787616, 0.0125819
210 0.00012, 0.00819365, 0.0141457, 0.0208642
240 0.000113333, 0.00306839, 0.00517749, 0.00827084
270 0.000113333, 0.00443905, 0.00757899, 0.0121071
300 0.000113333, 0.00380336, 0.00646522, 0.0103279
330 0.000113333, 0.00451489, 0.00771187, 0.0123194
360 0.0001, 0.00425611, 0.00728182, 0.0102607
390 0.000113333, 0.00481825, 0.00824339, 0.0131685
420 0.000106667, 0.0068331, 0.0117852, 0.0183805
450 0.000113333, 0.00493408, 0.00844634, 0.0134927
480 0.000106667, 0.00341611, 0.0057984, 0.00926272
510 0.000133333, 0.00422187, 0.00716344, 0.0114433
540 0.00012, 0.00379899, 0.00644589, 0.0102971
570 1.33333e-05, 0.000753821, 0.00129739, 0.00207253
600 0, 0, 0, 0
