3, 1.07284e+06, 6.80501e-05
6, 1.07672e+06, 6.82962e-05
9, 1.07395e+06, 6.81208e-05
12, 1.07463e+06, 6.81637e-05
15, 1.05972e+06, 6.72178e-05
18, 1.07296e+06, 6.80577e-05
21, 1.07996e+06, 6.85015e-05
24, 1.07999e+06, 6.85039e-05
27, 1.07274e+06, 6.80438e-05
30, 1.08528e+06, 6.88395e-05
33, 1.05055e+06, 6.66365e-05
36, 1.06741e+06, 6.77061e-05
39, 1.05297e+06, 6.67897e-05
42, 1.07368e+06, 6.81037e-05
45, 1.07705e+06, 6.83171e-05
48, 1.07307e+06, 6.80646e-05
51, 1.07474e+06, 6.81709e-05
54, 1.08713e+06, 6.89564e-05
57, 1.08418e+06, 6.87695e-05
60, 1.0552e+06, 6.6931e-05
63, 1.04445e+06, 6.62495e-05
66, 1.06774e+06, 6.77269e-05
69, 1.06175e+06, 6.73471e-05
72, 7030, 4.45913e-07
75, 0, 0
