3, 1.07284e+06, 0.000241163
6, 1.07672e+06, 0.000242035
9, 1.07395e+06, 0.000241414
12, 1.07463e+06, 0.000241566
15, 1.05972e+06, 0.000238214
18, 1.07296e+06, 0.00024119
21, 1.07996e+06, 0.000242763
24, 1.07999e+06, 0.000242771
27, 1.07274e+06, 0.000241141
30, 1.08528e+06, 0.000243961
33, 1.05055e+06, 0.000236154
36, 1.06741e+06, 0.000239944
39, 1.05297e+06, 0.000236696
42, 1.07368e+06, 0.000241353
45, 1.07705e+06, 0.000242109
48, 1.07307e+06, 0.000241215
51, 1.07474e+06, 0.000241591
54, 1.08713e+06, 0.000244375
57, 1.08418e+06, 0.000243713
60, 1.0552e+06, 0.000237197
63, 1.04445e+06, 0.000234782
66, 1.06774e+06, 0.000240018
69, 1.06175e+06, 0.000238672
72, 7030, 1.58027e-06
75, 0, 0
