3 0.0006, 0.014086, 0.0236285, 0.0290808
6 0.000533333, 0.0200246, 0.0341502, 0.0545536
9 0.000666667, 0.00640303, 0.00998315, 0.00713975
12 0.000533333, 0.00575949, 0.00915664, 0.0146274
15 0.0006, 0.023311, 0.0397915, 0.0635654
18 0.0006, 0.00302003, 0.00424008, 0.00677336
21 0.0006, 0.0204911, 0.0348508, 0.0556728
24 0.000533333, 0.00673853, 0.010872, 0.0160411
27 0.0006, 0.00661904, 0.0105458, 0.0168466
30 0.0006, 0.00595026, 0.00937408, 0.0149747
33 0.000533333, 0.00815883, 0.0133605, 0.0213429
36 0.000533333, 0.0191007, 0.0325314, 0.0519677
39 0.000533333, 0.0126473, 0.0212246, 0.0270752
42 0.0006, 0.0169541, 0.0286538, 0.0457733
45 0.000533333, 0.0191489, 0.032616, 0.043438
48 0.000533333, 0.00411856, 0.0062816, 0.0100346
51 0.000666667, 0.019172, 0.0324227, 0.051794
54 0.0006, 0.00650873, 0.0103526, 0.0165378
57 0, 0, 0, 0
60 0, 0, 0, 0
